         778512335 function calls (766171447 primitive calls) in 512.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   300412    0.648    0.000   17.411    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/numeric.py:64(_shallow_copy)
   610352    0.635    0.000    5.507    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:774(copy)
   653240    0.622    0.000    0.998    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:5101(_extend_blocks)
   307001    0.619    0.000    0.619    0.000 {built-in method numpy.core.multiarray.arange}
   558524    0.615    0.000    1.820    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/ops.py:50(get_op_result_name)
   533600    0.607    0.000    4.057    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numeric.py:2891(__enter__)
   551253    0.599    0.000    5.470    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:2484(_get_item_cache)
   533600    0.594    0.000    0.740    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numeric.py:2887(__init__)
190598/72165    0.593    0.000    1.015    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/openpyxl/descriptors/serialisable.py:195(__hash__)
  2134400    0.566    0.000    0.566    0.000 {built-in method numpy.core.umath.geterrobj}
   182326    0.565    0.000   10.321    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:2179(take)
   865884    0.564    0.000    1.046    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/openpyxl/cell/cell.py:123(coordinate)
      234    0.563    0.002    0.721    0.003 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/openpyxl/writer/etree_worksheet.py:14(get_rows_to_write)
    55031    0.558    0.000    0.558    0.000 {pandas._libs.missing.isnaobj}
